Requiem for a Dream,The Godfather
Neighbors 2: Sorority Rising,The Disaster Artist
About Time,Dirty Grandpa
The Pianist,Her
Nocturnal Animals,"I, Tonya"
Run All Night,Se7en
Fifty Shades Freed,Jackie
A Hologram for the King,Misconduct
Wind River,The Killing of a Sacred Deer
Shutter Island,Schindler's List
Wild Card,Saw V
The Nice Guys,Braveheart
The Godfather,The Imitation Game
Shutter Island,Knock Knock
About Time,Un homme à la hauteur
Catch Me If You Can,Blackhat
Baywatch,Criminal
Furious 7,Logan
Changeling,The Girl on the Train
La dolce vita,Revolutionary Road
Disconnect,The Prestige
The Nice Guys,Inception
Collateral Beauty,Flatliners
Legend,Dancer in the Dark
Grave,The Perks of Being a Wallflower
Pirates of the Caribbean: Dead Men Tell No Tales,Assassin's Creed
Atomic Blonde,Free State of Jones
Burnt,Disconnect
The Bourne Identity,The Transporter Refueled
Tomb Raider,Skyfall
Wild Card,Sand Castle
Joy,Alone in Berlin
This Is 40,Mike and Dave Need Wedding Dates
Gladiator,Iron Man
Keith,Collateral Beauty
Requiem for a Dream,Hidden Figures
Masterminds,Ocean's 8
12 Years a Slave,The Prestige
The Lobster,Julieta
The Prestige,Ex Machina
Forrest Gump,A Hologram for the King
Skyfall,Quantum of Solace
Revolutionary Road,The Circle
Inception,Interstellar
The Wizard of Lies,The Greatest Showman
The Godfather,The Silence of the Lambs
The Bourne Identity,Transporter 3
Perfetti sconosciuti,Intouchables
The Girl on the Train,The Killing of a Sacred Deer
Spy,La dolce vita
The Notebook,Loft
The Sixth Sense,Miss Sloane
Lady Bird,The Light Between Oceans
The Bank Job,Sand Castle
Grave,The Circle
John Carter,Tomorrowland
King Arthur: Legend of the Sword,Tomb Raider
Personal Shopper,The Duchess
Grave,Schindler's List
Deadpool 2,Intouchables
Passengers,Pride & Prejudice
This Means War,Trainwreck
Jagten,The Notebook
Requiem for a Dream,Phantom Thread
Marley & Me,How to Be Single
Baywatch,Ocean's 8
The Bourne Identity,Jason Bourne
Jagten,Bridge of Spies
Harry Potter and the Deathly Hallows: Part 2,The Hunger Games
Nocturnal Animals,Thelma
The Danish Girl,Indignation
The Age of Adaline,Jagten
Shutter Island,The Danish Girl
The Pianist,Nocturnal Animals
Schindler's List,Me Before You
The Greatest Showman,Her
Léon,Catch Me If You Can
The Infiltrator,Changeling
Dark Crimes,Kill Bill: Vol. 1
The Dictator,The Truman Show
LOL,Miss Sloane
Victoria,Dark Shadows
Sand Castle,The Greatest Showman
"I, Tonya",The Danish Girl
Trainwreck,Project X
The Girl on the Train,The Pianist
Skyfall,Spy
Victoria,Mother's Day
Snowden,Phantom Thread
Suicide Squad,Deadpool
A Hologram for the King,About Time
The Hunger Games: Mockingjay - Part 2,John Wick
Flatliners,Bridge of Spies
The Whole Truth,Dead Poets Society
The Imitation Game,The Perks of Being a Wallflower
Deadpool,Furious 7
Victor Frankenstein,Indignation
Jagten,Inferno
Kingsman: The Golden Circle,Interstellar
Free State of Jones,Mechanic: Resurrection
Unforgettable,Disconnect
Masterminds,Hancock
Misconduct,The Beguiled
This Is 40,La La Land
Spectre,The 5th Wave
Grimsby,Despicable Me 3
Passengers,Ex Machina
Suicide Squad,Masterminds
Se7en,Wild Card
The Snowman,The Prestige
The Transporter Refueled,The Man from U.N.C.L.E.
The Wolf of Wall Street,Ted
Joy,The Shape of Water
John Carter,Hitman: Agent 47
Ted,Dark Shadows
The Mountain Between Us,The Martian
Lady Bird,The Theory of Everything
Nerve,Jigsaw
Warcraft,Braveheart
Knock Knock,Ex Machina
